# BME688 cage-odor heater-sweep log
# firmware_version,cage-odor-1.2.0
# session_start_iso,(no RTC)
# session_start_unix,0
# rtc_present,0
# sensors_detected,8 of 8
# sensor,0,logical_id,0,enabled,1,ok,1,unique_id,0x2ED18B51
# sensor,1,logical_id,1,enabled,1,ok,1,unique_id,0x2ED19951
# sensor,2,logical_id,2,enabled,1,ok,1,unique_id,0x2ED19B51
# sensor,3,logical_id,3,enabled,1,ok,1,unique_id,0x2ED19D51
# sensor,4,logical_id,4,enabled,1,ok,1,unique_id,0x2ED1A051
# sensor,5,logical_id,5,enabled,1,ok,1,unique_id,0x2ED1A251
# sensor,6,logical_id,6,enabled,1,ok,1,unique_id,0x2ED1A451
# sensor,7,logical_id,7,enabled,1,ok,1,unique_id,0x2ED19C4A
# profile_rotate_ms,120000
# n_profiles,4
# profile,0,bosch_default,meas_dur_ms,140,temps,320 100 100 100 200 200 200 320 320 320,muls,5 2 10 30 5 5 5 5 5 5
# profile,1,ramp_200_350,meas_dur_ms,140,temps,200 217 233 250 267 283 300 317 333 350,muls,10 10 10 10 10 10 10 10 10 10
# profile,2,ramp_short_dwell,meas_dur_ms,140,temps,200 217 233 250 267 283 300 317 333 350,muls,3 3 3 3 3 3 3 3 3 3
# profile,3,ramp_long_dwell,meas_dur_ms,300,temps,200 217 233 250 267 283 300 317 333 350,muls,20 20 20 20 20 20 20 20 20 20
#
timestamp_iso,millis,unix_time,label,label_name,marker,sensor_idx,logical_id,profile_id,profile_name,profile_cycle,heater_step,heater_temp_c,heater_dur_ms,gas_resistance_ohm,temperature_c,humidity_pct,pressure_pa,idac,res_heat,gas_wait_reg,status,gas_valid,heat_stable,meas_index,skipped
,138919,0,2,SOILED,,2,2,1,ramp_200_350,2,1,217,990,30274.36,37.954,37.459,100113.32,92,82,10,128,0,0,12,167
,140044,0,2,SOILED,,6,6,1,ramp_200_350,2,1,217,990,46360.02,38.149,30.829,100128.38,144,84,10,176,1,1,19,175
,142143,0,2,SOILED,,3,3,1,ramp_200_350,2,3,250,990,22590.89,38.510,36.792,100124.80,92,89,10,144,0,1,35,195
,144103,0,2,SOILED,,0,0,1,ramp_200_350,2,4,267,990,8620.69,37.783,35.962,100106.68,165,94,10,176,1,1,49,208
,146345,0,2,SOILED,,1,1,1,ramp_200_350,2,6,300,990,9098.66,38.200,35.351,100119.12,136,100,10,144,0,1,66,59
,147192,0,2,SOILED,,7,7,1,ramp_200_350,2,7,317,990,14608.54,39.075,28.868,100116.21,180,105,10,144,0,1,70,230
,149150,0,2,SOILED,,2,2,1,ramp_200_350,2,8,333,990,9563.66,39.043,36.469,100118.66,170,111,10,144,0,1,86,73
,150833,0,2,SOILED,,4,4,1,ramp_200_350,2,9,350,990,25806.45,39.479,31.672,100133.61,172,117,10,144,0,1,97,1
,150835,0,2,SOILED,,6,6,1,ramp_200_350,2,9,350,990,26528.50,39.211,29.812,100132.19,172,117,10,144,0,1,97,77
,154752,0,2,SOILED,,1,1,1,ramp_200_350,2,2,233,990,50753.37,38.104,34.839,100118.86,147,84,10,128,0,0,127,60
,158532,0,2,SOILED,,0,0,1,ramp_200_350,2,5,283,990,12300.60,38.162,35.352,100105.73,169,98,10,144,0,1,153,103
,160213,0,2,SOILED,,2,2,1,ramp_200_350,2,6,300,990,11130.43,39.091,36.172,100118.34,165,102,10,144,0,1,166,79
,160357,0,2,SOILED,,5,5,1,ramp_200_350,2,6,300,990,18481.09,39.352,32.452,100119.26,167,100,10,144,0,1,165,72
,160777,0,2,SOILED,,3,3,1,ramp_200_350,2,6,300,990,12841.09,39.291,35.665,100124.98,165,102,10,176,1,1,169,133
,162181,0,2,SOILED,,6,6,1,ramp_200_350,2,7,317,990,21519.84,39.286,29.608,100129.95,171,109,10,176,1,1,179,81
,163298,0,2,SOILED,,1,1,1,ramp_200_350,2,8,333,990,14739.75,38.741,34.669,100120.16,173,109,10,176,1,1,189,61
,168065,0,2,SOILED,,7,7,1,ramp_200_350,2,2,233,990,117431.20,39.148,28.186,100114.91,156,84,10,128,0,0,220,149
,170861,0,2,SOILED,,2,2,1,ramp_200_350,2,4,267,990,21031.88,39.086,36.014,100115.06,157,94,10,144,0,1,243,76
,170867,0,2,SOILED,,4,4,1,ramp_200_350,2,4,267,990,40973.11,39.384,31.319,100131.30,157,96,10,144,0,1,241,143
,172260,0,2,SOILED,,1,1,1,ramp_200_350,2,5,283,990,16256.03,38.600,34.706,100121.45,160,96,10,144,0,1,254,64
,173102,0,2,SOILED,,0,0,1,ramp_200_350,2,5,283,990,12451.36,38.425,35.160,100103.25,169,98,10,144,0,1,2,104
,173528,0,2,SOILED,,6,6,1,ramp_200_350,2,6,300,990,21563.34,39.329,29.535,100129.80,167,105,10,144,0,1,5,81
,180527,0,2,SOILED,,3,3,1,ramp_200_350,2,1,217,990,112256.09,39.243,35.143,100121.57,140,81,10,144,0,1,55,141
,180805,0,2,SOILED,,1,1,1,ramp_200_350,2,1,217,990,90267.98,38.482,34.486,100119.23,141,80,10,144,0,1,60,61
,181787,0,2,SOILED,,2,2,1,ramp_200_350,2,2,233,990,49487.73,39.101,35.760,100114.53,147,86,10,144,0,1,66,78
,185013,0,2,SOILED,,6,6,1,ramp_200_350,2,4,267,990,44849.34,39.351,29.426,100125.18,159,97,10,144,0,1,88,82
,188088,0,2,SOILED,,0,0,1,ramp_200_350,2,6,300,990,9411.76,38.689,35.026,100098.27,173,102,10,144,0,1,110,107
,189768,0,2,SOILED,,1,1,1,ramp_200_350,2,8,333,990,11640.60,39.046,34.511,100116.73,173,109,10,144,0,1,125,64
,189914,0,2,SOILED,,7,7,1,ramp_200_350,2,7,317,990,18529.24,39.895,27.975,100111.33,180,105,10,144,0,1,121,156
